"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-06 12:00","2025","06","06","12:00","","15.4","","13.1","","86","","0.0","","23","","14","","","","101.36","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-06 13:00","2025","06","06","13:00","","16.5","","13.5","","82","","0.0","","23","","9","","","","101.33","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-06 14:00","2025","06","06","14:00","","16.7","","14.0","","84","","0.0","","28","","6","","","","101.35","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-06 15:00","2025","06","06","15:00","","16.7","","12.6","","77","","0.0","","35","","6","","","","101.32","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-06 16:00","2025","06","06","16:00","","16.7","","12.2","","75","","0.0","","6","","6","","","","101.29","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-06 17:00","2025","06","06","17:00","","16.0","","11.2","","73","","0.0","","5","","6","","","","101.25","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-06 18:00","2025","06","06","18:00","","15.1","","11.1","","77","","0.0","","11","","8","","","","101.25","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-06 19:00","2025","06","06","19:00","","13.8","","10.9","","83","","0.0","","8","","7","","","","101.24","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-06 20:00","2025","06","06","20:00","","13.5","","11.1","","85","","0.0","","12","","10","","","","101.22","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-06 21:00","2025","06","06","21:00","","12.6","","11.1","","90","","0.0","","9","","10","","","","101.23","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-06 22:00","2025","06","06","22:00","","12.2","","11.0","","93","","0.0","","8","","9","","","","101.20","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-06 23:00","2025","06","06","23:00","","12.0","","11.0","","94","","0.0","","11","","11","","","","101.13","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-07 00:00","2025","06","07","00:00","","12.4","","11.4","","94","","0.0","","10","","11","","","","101.07","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-07 01:00","2025","06","07","01:00","","12.4","","11.4","","94","","0.0","","33","","4","","","","101.06","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-07 02:00","2025","06","07","02:00","","12.7","","11.7","","94","","0.0","","22","","6","","","","101.02","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-07 03:00","2025","06","07","03:00","","12.9","","12.0","","94","","0.0","","","","0","","","","100.99","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-07 04:00","2025","06","07","04:00","","12.6","","11.8","","95","","0.0","","9","","8","","","","100.91","","","","","","NA"
